City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,port-gentil,-0.7193,8.7815,80.56,89,20,5.75,GA,1683574638
296,yaren,-0.5472,166.916,83.82,76,100,9.75,NR,1683574639
297,huancabamba,-5.2386,-79.4506,73.0,66,43,3.0,PE,1683574639
298,sur,22.5667,59.5289,90.64,30,0,8.55,OM,1683574639
299,kirkkonummi,60.1238,24.4385,47.37,64,71,6.93,FI,1683574640
300,carlsbad,33.1581,-117.3506,76.71,68,0,11.5,US,1683574516
301,igarka,67.4667,86.5833,30.24,90,99,17.85,RU,1683574640
302,bubaque,11.2833,-15.8333,79.97,77,100,11.43,GW,1683574640
303,huainan,32.6264,116.9969,54.32,63,52,6.22,CN,1683574640
304,banjarmasin,-3.3244,114.591,78.94,96,98,1.07,ID,1683574640
305,embi,48.8264,58.1442,62.06,43,98,0.96,KZ,1683574641
306,peace river,56.2501,-117.286,55.71,76,100,3.44,CA,1683574641
307,suntar,62.1444,117.6319,19.33,95,85,4.79,RU,1683574641
308,alamos,27.0167,-108.9333,96.13,5,0,7.78,MX,1683574641
309,quellon,-43.1167,-73.6167,50.25,87,100,0.0,CL,1683574641
310,sarkand,45.41,79.9186,53.11,40,0,8.14,KZ,1683574641
311,praia da vitoria,38.7333,-27.0667,62.85,100,40,1.79,PT,1683574642
312,carutapera,-1.195,-46.02,81.84,80,71,6.22,BR,1683574642
313,nepalgunj,28.05,81.6167,79.45,25,0,5.08,NP,1683574642
314,paranapanema,-23.3886,-48.7228,77.0,62,11,4.63,BR,1683574642
315,sorong,-0.8833,131.25,79.02,87,32,4.94,ID,1683574642
316,paraiso,9.8383,-83.8656,85.06,46,22,4.99,CR,1683574642
317,eureka,40.8021,-124.1637,58.68,74,38,7.0,US,1683574643
318,tamanrasset,22.785,5.5228,85.91,11,100,14.97,DZ,1683574643
319,chanthaburi,12.8333,102.1667,71.53,91,99,1.23,TH,1683574643
320,mumford,5.2618,-0.759,82.99,78,20,10.13,GH,1683574645
321,tofol,5.3248,163.0078,83.14,78,100,14.16,FM,1683574645
322,santana,-0.0583,-51.1817,82.58,83,75,6.91,BR,1683574645
323,kodinsk,58.6881,99.1844,45.84,80,85,5.77,RU,1683574646
324,hammerfest,70.6634,23.6821,34.25,100,75,4.61,NO,1683574646
325,eirunepe,-6.6603,-69.8736,81.27,80,64,4.94,BR,1683574646
326,vryburg,-26.9566,24.7284,58.19,51,0,4.72,ZA,1683574646
327,akureyri,65.6835,-18.0878,48.13,76,75,11.5,IS,1683574646
328,wytheville,36.9484,-81.0848,77.38,64,31,3.0,US,1683574647
329,acarau,-2.8856,-40.12,81.32,82,14,8.77,BR,1683574647
330,alofi,-19.0595,-169.9187,75.09,100,40,3.44,NU,1683574647
331,siwa oasis,29.2041,25.5195,75.65,28,18,5.41,EG,1683574647
332,richards bay,-28.783,32.0377,66.96,89,100,7.99,ZA,1683574647
333,rincon,32.296,-81.2354,88.92,51,75,9.22,US,1683574648
334,vorkuta,67.5,64.0,20.21,97,100,6.4,RU,1683574648
335,yung shue wan,22.2333,114.1167,72.82,88,100,1.01,HK,1683574648
336,ibiza,38.9088,1.433,69.22,78,0,5.75,ES,1683574461
337,huescar,37.811,-2.5412,72.72,35,69,5.75,ES,1683574648
338,cumbum,9.7333,77.3,74.88,93,95,4.68,IN,1683574648
339,bakanas,44.8081,76.2772,62.94,26,0,6.17,KZ,1683574649
340,dzhambeyty,50.2536,52.595,48.9,37,100,18.39,KZ,1683574649
341,loreto,22.2667,-101.9667,81.39,19,92,8.28,MX,1683574649
342,severo-yeniseyskiy,60.3725,93.0408,46.31,83,99,6.64,RU,1683574652
343,al mindak,20.1588,41.2834,64.0,46,5,3.6,SA,1683574653
344,alta,69.9689,23.2717,38.46,100,75,0.0,NO,1683574653
345,opuwo,-18.0607,13.84,72.19,34,5,7.67,NA,1683574654
346,merizo village,13.2658,144.6691,81.16,93,2,10.98,GU,1683574654
347,laguna,38.421,-121.4238,66.06,63,75,9.22,US,1683574655
348,acajutla,13.5928,-89.8275,89.47,62,28,10.74,SV,1683574655
349,titao,13.7667,-2.0667,92.39,34,100,13.27,BF,1683574659
350,soroti,1.7146,33.6111,66.65,90,59,3.74,UG,1683574659
351,sol'-iletsk,51.1631,54.9918,45.07,47,100,16.82,RU,1683574659
352,ceylanpinar,36.8472,40.05,66.79,40,0,6.91,TR,1683574659
353,hun,29.1268,15.9477,83.48,15,25,15.9,LY,1683574659
354,wainwright,52.839,-110.8572,62.4,50,72,11.25,CA,1683574660
355,kerikeri,-35.2268,173.9474,67.91,96,100,7.0,NZ,1683574660
356,aldinga beach,-35.2793,138.4604,54.19,84,43,6.69,AU,1683574660
357,keelakarai,9.2333,78.7833,84.43,73,100,8.01,IN,1683574660
358,yemetsk,63.4721,41.7941,41.63,76,100,6.38,RU,1683574660
359,dazhou,31.2159,107.5009,60.3,93,100,4.97,CN,1683574661
360,coronel suarez,-37.4547,-61.9334,61.74,49,0,11.45,AR,1683574555
